,country,forecast_2023,forecast_2024,forecast_2025,forecast_2026,forecast_2027,forecast_2028,forecast_2029,forecast_2030,forecast_2031,forecast_2032,forecast_2033,forecast_2034,forecast_2035,forecast_2036,forecast_2037,forecast_2038
46,Chile,87.11711120605469,87.4695816040039,87.72354125976562,87.93460845947266,88.13153839111328,88.3076171875,88.4710693359375,88.58898162841797,88.68858337402344,88.77813720703125,88.85433197021484,88.91748809814453,89.00667572021484,89.05809020996094,89.11637878417969,89.15735626220703
47,China,11267.259765625,11381.5751953125,11483.8076171875,11571.744140625,11646.6748046875,11717.634765625,11785.697265625,11851.98828125,11917.0751953125,11978.9736328125,12033.37109375,12079.84375,12119.2099609375,12154.15625,12183.3818359375,12211.5908203125
48,Christmas Island,,,,,,,,,,,,,,,,
49,Colombia,93.43421173095703,93.21765899658203,93.02295684814453,92.8294677734375,92.57943725585938,92.3486099243164,92.21369934082031,92.23551177978516,92.25273132324219,92.33384704589844,92.307373046875,92.18769073486328,92.17475891113281,92.08714294433594,92.09447479248047,92.1827392578125
50,Comoros,0.4335818886756897,0.44189170002937317,0.4476955831050873,0.4519483149051666,0.45489785075187683,0.45701056718826294,0.45863673090934753,0.45960772037506104,0.46022456884384155,0.4606603682041168,0.4610522389411926,0.4613340497016907,0.46147993206977844,0.46165913343429565,0.46182960271835327,0.46193376183509827
51,Congo,7.774909973144531,7.965377330780029,8.123637199401855,8.257087707519531,8.377513885498047,8.48131275177002,8.56498908996582,8.641962051391602,8.70787525177002,8.764666557312012,8.814481735229492,8.851701736450195,8.879834175109863,8.90500259399414,8.929034233093262,8.949586868286133
52,Cook Islands,0.06776757538318634,0.06641653180122375,0.06507803499698639,0.06466859579086304,0.06537704169750214,0.06666158139705658,0.0681588277220726,0.06943682581186295,0.07082290202379227,0.07125559449195862,0.07270801812410355,0.07414200901985168,0.07581356912851334,0.07555114477872849,0.0755268782377243,0.07533299922943115
53,Costa Rica,7.644234657287598,7.648662567138672,7.651165008544922,7.650915622711182,7.648122310638428,7.643918514251709,7.643232345581055,7.6438188552856445,7.640527248382568,7.6419572830200195,7.645939826965332,7.650730133056641,7.65272855758667,7.643424034118652,7.642938613891602,7.645221710205078
54,Cote d'Ivoire,11.775915145874023,11.881723403930664,11.970969200134277,12.041952133178711,12.097067832946777,12.137361526489258,12.168783187866211,12.194853782653809,12.2168607711792,12.232292175292969,12.248332023620605,12.265422821044922,12.278566360473633,12.288008689880371,12.29465103149414,12.300423622131348
55,Croatia,17.492469787597656,17.533985137939453,17.56199073791504,17.591461181640625,17.627174377441406,17.643095016479492,17.65218162536621,17.650362014770508,17.65256690979004,17.66232681274414,17.686885833740234,17.69620704650879,17.708032608032227,17.70176124572754,17.70234489440918,17.70393180847168
56,Cuba,19.715816497802734,20.178621292114258,21.03986930847168,25.02997589111328,26.96368980407715,28.692230224609375,29.647083282470703,30.348691940307617,31.12963104248047,31.599428176879883,31.746076583862305,31.708620071411133,31.539581298828125,31.114282608032227,30.35379409790039,29.03774642944336
